temperature,humidity,occupancy,appliances,hour,previous_consumption,energy_consumption
27,21,2,11,17,432.6753415499488,345.46348924545964
29,24,9,8,8,230.53042599713348,281.2010049951212
25,23,5,7,17,264.747458400202,251.9752135106088
18,55,7,16,5,417.4831330751972,428.30296693341444
27,25,4,16,8,354.23061494983,360.1394258895047
21,40,1,14,17,276.6903561729076,326.88068338824866
33,45,8,15,15,199.9562035618232,341.5005428780933
36,74,1,9,23,405.6803875407057,369.249443442323
16,58,3,16,22,172.17241379602282,276.07492371601097
24,52,6,16,12,471.31184023457126,450.65953842908357
27,33,8,5,10,160.1264276491989,220.51414233492926
39,75,8,3,7,421.97347677891844,372.39280649519276
35,40,2,13,23,269.69954669125354,333.78302768146193
20,65,9,8,16,174.40249317340482,266.67421661996866
26,35,4,17,8,260.9515752947085,355.32682089209584
26,35,4,5,5,188.62072647997343,219.75773765259584
34,48,2,6,0,154.39746033433894,209.9661802683264
25,27,1,2,0,195.6621595722234,151.7500784458942
37,22,7,14,12,446.95938901530104,435.24206234979494
39,38,3,4,6,142.37695499192967,210.3242612909254
21,85,4,3,9,489.0158351071563,367.816423949326
15,41,9,9,17,101.99938147507072,212.24131549447236
15,65,6,18,5,363.29526175649727,403.7277908215662
39,32,1,12,12,442.6047939352344,401.9439213285122
39,52,9,9,4,473.58305925070573,439.2464578726927
34,24,9,18,20,157.5942373827018,348.35684474038874
27,46,5,13,14,379.283398580936,368.4954362801626
23,43,8,14,11,142.93968646225892,274.05919557034207
17,86,7,10,21,241.04459754977344,297.66446059183136
21,82,8,3,10,392.77054300279747,302.0060804543281
20,67,9,7,7,238.38929046522676,281.3793848066724
22,82,2,18,4,225.34989131242713,333.81162016651007
23,31,5,16,7,146.42184752096327,283.61196472071083
19,47,8,17,4,126.5752377312352,291.80816908902347
15,63,3,6,9,146.11119651270283,180.0957103043699
33,62,6,12,14,450.18990997808976,438.69402812023105
24,36,6,19,5,104.4794101523701,295.84092561064637
26,59,7,3,23,377.14634781411564,318.84444493060477
38,68,3,3,17,407.4496919553191,334.1875059874346
29,76,8,18,22,327.15532165097153,431.8598460550077
36,83,8,11,2,392.3101444732594,404.42960776645225
38,76,9,6,8,360.9078676100401,382.189575464081
23,89,8,19,9,282.22339563787705,418.2873445408076
34,62,3,5,6,253.08417115050682,267.69947401100336
31,42,6,13,18,476.5327953620694,434.31977885166384
31,46,9,5,23,488.77519702818716,399.9748972649468
34,77,1,3,1,360.5085614500119,294.0088506114007
26,56,3,19,7,178.9195359593887,311.68298703507975
21,25,2,17,6,279.159664975115,322.58920949496854
16,84,8,3,4,298.6149960330428,273.9006431364167
17,25,6,15,3,403.18802098426465,377.61021152218547
31,69,8,17,10,367.1108525289277,450.87554521130517
19,41,2,13,9,305.92577177115805,300.5675734078281
31,44,6,14,0,372.1458231148628,385.1327140970205
38,70,7,16,3,109.62273869350958,312.7497673953035
31,67,8,11,21,410.6541287537455,412.5817688897603
31,89,9,17,5,184.65289360277774,355.3334645905116
16,84,5,5,17,362.56365582445966,309.59120910134
16,79,3,15,12,145.58930085480367,262.68634017156705
36,65,2,18,12,145.78433436988058,316.3719268689011
37,55,8,16,0,114.2630575346808,338.6206284905187
19,77,1,14,3,464.0931240614047,414.6677031145889
15,57,6,14,3,341.8235030767248,355.51270956209515
15,30,2,13,17,244.7847744916593,256.0427670158198
33,31,3,1,23,415.1110964077235,311.44421794998414
16,61,8,6,17,350.4328802498662,306.2315805880811
35,58,1,11,17,348.03220716517615,351.09030298901155
26,30,6,11,14,294.8171177452027,326.78704067645583
20,55,3,16,17,103.17071146728347,237.29786809487823
37,71,6,3,14,203.38500256997594,248.6228778381731
18,50,3,17,16,143.63067784003317,275.95305762767777
37,52,8,14,4,364.9639409411104,417.5409705406141
25,32,5,2,10,199.4483287147991,183.71567950096295
38,37,4,9,15,280.0666656204828,315.79337614236
31,60,9,8,19,241.37211931595317,309.9548577315644
20,77,5,11,1,157.2794951701456,278.9489493168248
38,75,4,7,16,483.3480931530877,417.0095498089466
19,43,8,2,0,473.3677246508864,325.82291822014554
34,50,8,4,17,133.8432744146562,223.26877861708192
16,74,8,14,16,430.9461414111986,425.0707313382683
20,29,4,13,17,295.34947308654927,314.24350577545164
36,79,1,13,18,409.4943538323405,391.06112511769095
25,21,2,13,4,160.46285236550676,267.64619191738086
30,34,4,5,12,152.90965511101749,195.91065787080487
30,22,2,12,23,456.30300035808165,407.1260455951309
15,62,3,6,22,459.12779673642433,334.8870577521874
23,50,9,14,5,286.3648651014435,350.5097763989235
20,89,9,8,12,448.0631190459592,371.4580767294938
30,86,9,8,17,366.9835806014521,384.9102559631371
17,75,7,7,3,174.0038970443968,225.29864781378654
34,82,4,17,8,231.5817058728595,372.78471322646897
18,34,1,11,22,154.42426020346795,234.8272441167844
33,29,3,10,2,409.57946757237323,348.4339717552668
17,57,8,13,21,494.10028987829986,436.22568456596497
33,66,4,10,23,318.55133062640465,334.2321026333032
34,76,2,14,23,362.3457656459571,402.38708990836966
21,69,8,9,7,398.4370272534547,368.45488906360265
34,34,7,7,12,189.70364097219618,261.1760044589527
23,37,9,7,23,234.40049905337366,283.05310768877035
15,21,2,18,21,264.9284845296939,319.9707424498645
22,62,5,16,10,337.83532485818887,371.97900580094006
21,45,6,8,9,440.19703125951025,374.45979828432263
32,57,2,16,10,201.68141783596246,305.89837318598785
22,61,2,19,2,288.35552029111557,369.01695508747827
15,24,4,15,13,400.6135644818847,354.0474571079551
25,30,8,15,13,134.9539998018497,270.85705283525374
39,84,5,6,18,305.15738333047136,318.9790124007149
39,53,9,9,3,157.75188134629002,291.99595140742423
32,20,4,15,0,315.6595586909398,359.5440690524086
37,21,3,7,1,407.12910452617473,349.29741534877286
24,39,8,8,5,194.7789644179759,273.9108990820259
17,80,1,18,12,439.79137819388194,423.6829916582872
21,40,9,16,13,233.92164403270002,335.83280702600695
30,87,4,15,0,176.31394542310807,333.2314485104445
30,31,9,3,7,286.1293580283408,267.11179627033084
39,41,8,1,17,450.4300328420821,333.2373694886234
34,39,3,13,13,127.57322446964116,273.2980661357652
31,20,3,12,1,231.02858648665813,300.2019824371311
16,49,9,9,23,361.26526758764527,327.8512539337031
15,43,3,2,11,243.0323474782342,211.47278800019538
30,33,4,9,23,128.32959789304624,232.0788422402295
26,55,9,8,0,232.7995875121895,297.59943416013425
19,88,4,5,20,428.38375445461213,329.6058285165661
19,43,3,13,14,487.2150090020104,407.91964173334026
37,79,7,2,10,115.91167895908737,201.41647426016146
23,74,6,10,17,327.71352705402774,337.07318271854547
23,43,1,6,16,142.12137321073925,177.12298558521042
17,43,8,7,2,372.15861166240234,305.88204774660716
33,73,1,3,14,103.15689040322039,186.55047523460573
30,45,4,14,12,105.8966502829493,265.56487739323615
30,85,6,16,2,410.7519305722296,453.3852838094449
17,57,6,6,12,129.77412907891912,196.11535799627842
34,84,7,8,8,222.07266971482568,318.78349689140236
38,70,5,1,9,483.2161696415324,362.2186939018415
36,54,5,15,0,494.0988469789885,461.6230178008203
38,62,4,17,1,164.56114475442672,330.6636274838483
15,48,6,18,13,324.36076857434006,354.1333081922043
38,56,7,3,4,323.65953139612,320.29050216242337
34,77,1,6,21,280.95227621304537,296.437575985218
25,73,9,17,9,469.88006330559824,508.21971746970104
31,58,8,13,18,401.6135636496641,412.3799065957777
22,61,7,17,7,405.81077427277756,421.4469123999986
18,47,9,16,12,207.82777270773724,309.00814549257274
20,48,3,17,8,273.7279088806555,347.7772224342857
22,62,4,1,17,294.9694793901812,243.03453007103818
34,22,7,16,3,219.5648164817666,356.3219666097793
17,29,6,6,7,137.9271100648232,179.40077933495138
30,78,2,8,4,150.5436899888864,247.90831613965062
39,33,2,1,5,172.26845127236874,184.80039730911272
17,66,7,2,19,181.46133374597935,213.09476212516586
39,61,9,15,4,196.90472368421763,367.4692768728208
32,51,9,5,0,202.18401158539774,249.92586490335427
28,51,7,15,18,282.2865381950144,362.216971790977
32,61,8,10,3,303.8292763304165,331.74203232492334
16,51,3,5,0,223.5516832505424,201.4654403400614
36,45,1,3,18,462.91856796829126,320.7853807307944
17,20,7,6,3,321.25588933558186,265.1557357083691
30,75,8,15,13,414.9907712133627,441.6189892059667
23,21,2,18,13,469.69513296833736,423.5086407865126
18,49,9,14,8,165.25404583032207,293.0097776315882
15,71,4,10,18,271.14979348625377,287.27880877481243
18,28,9,4,10,273.2841606858435,253.3017265891105
15,41,3,11,15,241.78890017534167,249.80705866549494
28,53,8,7,18,103.56234662065597,225.83484312434337
35,68,2,15,3,426.38884311123803,440.21956966524056
30,20,3,9,8,144.62372862156113,220.42264961106332
34,72,1,15,16,498.19223916870357,458.13323528158134
38,59,5,12,14,409.18339676447266,414.64877566094617
22,64,4,18,7,332.0040070426058,398.02448747519844
21,87,1,6,12,161.842567096639,214.20054419086136
17,28,9,18,0,306.1571885572988,383.2243871377778
31,41,6,18,1,204.44349634312357,353.57248714618004
15,37,6,6,9,200.92900981722778,223.49090450469333
30,62,2,15,20,431.8116997529942,419.73654131163113
26,58,7,19,12,252.25776958377386,371.44810283440466
33,25,9,5,10,280.28952135632164,277.9226411434187
36,67,6,4,13,437.1858951120473,360.70137821537867
37,26,8,17,15,135.116250287537,339.3187179111551
36,88,5,10,5,337.8471412364198,371.31468311711575
28,35,2,12,1,331.28627254921514,331.67441749473346
20,20,4,5,4,270.0858277066701,211.86555924277562
20,56,1,7,18,431.9098565696372,325.29685446301784
27,56,1,12,6,477.15602453427704,398.579291224591
33,83,6,2,16,286.1343447654443,255.52726556618592
36,81,2,17,4,282.45882039935987,388.5153585994198
22,80,6,13,11,300.8254918682979,336.86166577418174
16,52,1,5,18,389.2496123332246,270.90883390083036
35,85,3,5,17,367.2241162795849,342.6955724585626
15,49,9,12,11,189.13397968275484,282.18480612561694
29,39,2,12,2,125.55813943973732,235.51666183818415
15,79,8,7,3,479.7016519267157,376.02499137355005
19,43,6,6,14,204.4279038934817,225.3126344157351
30,23,6,10,14,355.4386738762367,343.0562927892145
33,56,7,19,10,431.37520109748897,463.11241191991144
18,23,5,16,1,220.1107002188745,310.79398977996016
17,37,4,2,17,354.17336546277147,236.40237766947172
31,85,6,4,2,143.16009645968995,213.65146807846432
31,67,8,9,17,487.9725777502643,436.9991913070897
26,52,4,5,13,123.26331002025034,189.09927626851797
28,77,5,1,5,275.2698695363905,252.07603719796674
35,47,7,11,1,314.7276968240093,364.6737737408992
20,54,6,19,0,416.1927114653456,429.09235068045996
17,29,4,3,7,148.4514068289685,160.67459059656994
23,84,4,1,9,276.3231895420706,246.82758510981716
19,61,4,4,19,219.88462781738093,235.88043137657118
38,28,1,9,17,224.80428627733602,263.05133989981323
31,79,5,16,19,411.51516642610034,435.0523528881568
28,34,8,7,10,102.18437801273326,220.61623629898327
35,76,7,5,17,399.6334565343865,364.9209850810623
17,88,5,13,15,424.1593720492425,396.5013598272108
15,41,3,11,4,460.5448975368276,376.6721037166583
34,83,1,14,6,350.7527212921934,367.51435188837127
35,60,7,17,21,233.38213130889648,361.8045045844248
37,75,3,12,1,270.8938930195483,327.6934324612429
15,42,4,19,10,487.8944329149717,454.56929442173697
17,44,5,5,12,452.47473057434087,329.7608619706579
32,25,8,8,19,285.41036363977685,295.22721279923144
39,53,7,2,23,477.22520284436894,369.0210073664738
24,82,9,17,15,429.1819501625836,462.85512163977296
36,28,3,2,13,460.4359446639179,302.10397890672726
17,79,1,3,6,373.1908938303684,272.3186735031229
22,68,1,18,6,443.061617384798,414.60226720182607
28,70,1,15,11,456.7064565337303,428.58459090908866
38,79,2,5,11,136.80663381626857,215.59357275952286
32,89,2,17,19,486.0867906642634,475.4306540041289
29,56,7,14,0,233.44523950562532,350.99606010542993
36,50,9,1,22,275.95980383334216,283.9275125351362
37,60,8,14,5,416.76150367712614,448.6143254918783
16,81,4,9,7,365.9585222289991,328.36797923863213
24,77,2,5,12,457.2239649744229,327.2497418676219
16,33,3,4,4,260.2295003107089,208.21231673682425
31,55,5,1,23,249.31526547046343,232.4318077689795
22,55,9,3,9,112.67553981652787,188.225769482605
15,27,8,11,13,285.0901506678632,284.4553453773421
23,45,3,16,23,389.6283081316435,391.17708610747826
25,55,9,11,8,220.47148705048642,297.903012449466
36,67,3,10,16,285.09060546953657,344.251861897348
30,47,8,12,2,187.7591073941112,305.47181018053703
21,87,1,5,11,409.1151223485843,324.39443133700746
24,81,4,10,11,124.20462453645884,253.9780124448599
37,70,4,13,10,382.1532220001993,425.748266316138
17,61,6,19,21,251.5760046979934,361.52801216648754
32,48,2,7,3,116.63842775484832,202.58667999158234
39,29,7,16,7,441.3878349167143,450.4166737980723
38,58,5,6,9,295.0887452724661,325.7509617860078
27,20,6,10,13,339.7275878464516,313.6750603716769
21,58,6,10,0,392.81227660978277,348.9842786924704
39,40,6,11,11,362.0297732004755,381.2833155475286
18,84,8,10,4,392.34274832584464,373.02626220640514
27,34,4,14,13,404.9126738311431,394.8871478010645
34,23,8,15,3,335.6606122258444,377.16034312683576
15,79,9,7,16,246.2551323631027,280.64534948706427
22,80,4,13,21,197.25685988653706,294.8954695237551
28,39,1,11,12,461.1612946611149,365.3001428908435
30,29,3,7,2,487.9699378552881,373.8730732412088
28,53,1,11,10,243.06510203928354,283.9614530213968
26,67,7,14,10,144.9242916289201,296.37518512454125
33,52,1,17,4,189.0149308465725,309.8096843082733
37,80,4,16,5,368.2669383948758,424.02146644984026
29,29,1,1,3,169.1733479833323,151.41173070329387
16,73,2,9,9,412.04890922439523,344.5596730046221
16,84,1,9,9,469.2120959498854,372.4736031450015
37,20,5,10,11,485.4606060315389,424.257887962215
36,24,7,19,21,103.73020238995628,322.01912484469483
33,34,3,15,22,483.26166598176667,432.0755637586638
39,47,8,16,17,396.07776765184707,443.0453632123743
36,42,5,11,14,133.6200929055209,271.03552224488766
36,36,5,17,22,266.0961875114906,372.75191992577993
31,32,5,19,22,380.0181898318036,424.26610396089285
34,33,8,13,17,482.67419706441973,443.0826029102308
24,30,2,6,2,165.65655744455702,207.25735505777558
20,47,2,15,2,151.0933127707816,257.1735173086813
29,61,8,16,0,288.9388213047514,399.9892288554986
36,80,9,4,16,487.2395574953957,410.0791628129301
25,83,2,8,9,488.5516861032042,381.6694505806157
19,50,4,7,5,191.16589642116372,217.17196093643275
15,29,8,17,10,227.73885918858295,321.4372393355348
22,27,2,16,13,463.2127942578618,408.9794141215535
35,40,4,2,16,393.93659634082564,299.50133876943164
26,78,1,17,6,488.9265714630473,460.5203126881757
26,69,2,4,21,457.2593452062217,329.99711697851615
19,88,7,14,3,186.03842012549734,311.46944323256247
21,89,1,8,10,403.89074376507335,324.38389066936804
18,49,1,5,18,119.42609262404665,164.83651004886462
20,36,2,5,8,427.1331114965896,297.53814323776965
27,39,4,5,20,340.6227049778432,302.5689223133884
34,67,7,5,7,482.4403850545847,400.64627344724596
29,21,4,3,19,484.0129821876314,331.15083972171055
17,56,5,6,3,120.3260436097421,201.39847983465302
37,20,4,1,15,164.20859422230714,189.9449558942593
22,23,4,8,5,293.68281892747666,281.73986972591223
34,73,9,13,5,451.79740997845965,448.1851194937341
30,44,6,6,18,425.7780569184225,356.21201419570133
27,22,3,18,1,485.7480105407115,447.6138233493503
32,28,6,18,10,347.23364684453634,392.8077304278291
24,53,7,16,17,202.62540782464822,343.74768816198866
33,62,7,8,8,110.04265580207093,233.91587253388477
31,41,8,17,15,189.17059628821957,330.6371446837078
38,89,4,8,10,370.10927918144984,342.5623203235149
33,21,1,15,13,470.5099293372053,417.9680276000104
37,85,6,10,7,228.36146692330593,312.83200584634085
19,51,8,1,12,450.28173211571817,308.9575845885034
35,35,5,9,9,257.9592993364626,308.9603685761403
37,20,3,17,22,223.30849974742011,337.409353983268
23,67,4,1,11,303.53769712232724,237.85499109892467
26,69,8,9,20,276.9093969638461,307.20243352548613
35,32,6,14,2,465.51994740680726,436.40784747894827
15,34,5,5,1,287.3027789632506,249.83900316999333
15,72,9,6,10,210.9341548892302,260.9287341676805
29,63,3,5,23,437.02623100076147,359.02961230941787
16,27,7,4,17,499.4998046638267,330.7403263654189
36,65,9,16,23,359.26856767252957,426.0005185154961
30,88,4,16,20,200.18454757454344,345.18255619698874
39,38,3,10,3,195.52603080527172,282.10092614777267
22,57,1,14,7,123.08267848610393,244.8386091909076
27,30,9,13,10,130.91721540563395,269.4487668348938
35,62,1,4,14,465.993238073105,321.1631661310727
15,39,2,14,22,138.5948428198202,223.8015466474023
30,39,9,9,23,293.73753931071155,334.25257735277097
21,40,5,3,20,379.2487118772713,284.5015563287846
19,76,4,10,1,440.14191310944125,383.7165009051091
36,69,9,15,22,168.5083801014909,350.78059013599557
37,45,9,19,18,275.11147165014273,424.66033466839724
17,49,2,2,14,200.59207800551098,182.41375531258745
26,50,3,2,12,202.32923598664064,199.25290789727327
30,61,3,9,1,221.53572299467035,277.46606288493
33,87,5,4,2,334.8464857673869,288.09229427260584
19,80,3,5,13,106.63098867423528,174.41810406978448
36,80,6,2,19,263.50651452621116,270.44390427608505
39,89,2,7,12,174.73205409311703,266.04138706049275
28,87,6,19,22,486.8474034050539,491.2779431858432
19,36,6,6,15,333.0916637001241,293.2668888026381
29,38,2,16,11,447.2381875321291,407.4420847427129
31,70,6,14,0,178.2759947078448,330.24852403470237
28,89,6,12,5,424.00627972951514,407.69127552565567
34,82,6,6,12,265.9129845220933,300.6230450752105
19,49,5,13,21,171.07787553976095,261.686920462127
26,44,7,15,23,404.4980809552931,406.0617963365238
30,45,5,14,1,404.8044390461124,413.44837703116656
30,75,1,8,17,498.3551627456244,387.4889769562609
35,41,9,11,16,412.3749047192656,406.05214916759013
21,38,3,9,18,158.10689917085114,211.73013834527856
18,50,2,12,22,229.01789671429128,267.4601187806118
15,45,6,6,14,280.6907669164584,258.9753302073407
19,61,8,19,7,150.66112228391802,326.14589629581286
37,60,2,3,22,415.2155897791256,323.3440986153997
24,42,4,1,8,310.6794151650346,246.9660407603107
36,66,2,15,7,477.7798276383014,452.7374169626458
19,32,9,15,7,335.7232578103281,358.5666178072622
18,85,2,5,10,309.1596334953016,266.76918266655974
16,85,2,11,17,128.57006117314575,224.97302571341513
34,35,5,1,16,159.73836197783112,195.59252246543753
24,47,5,10,21,439.81043070566045,375.44409189138656
33,54,7,11,22,496.27039113032333,450.6247841120154
15,60,1,7,5,266.0716543593078,233.33183163443877
38,50,2,17,22,424.0344334899716,435.8912934476892
19,51,6,12,23,351.0343065322607,336.8242963980808
27,73,2,4,1,483.62370946868543,349.7126399283766
18,78,4,12,0,195.2548941776373,263.49889221306887
30,60,6,3,9,317.9342972031772,290.28527939993035
38,85,7,18,7,263.5183273370383,415.52865144835874
30,73,5,12,15,316.68639037720607,361.56072305022207
37,59,8,19,23,207.5432333675421,396.7758014523356
16,47,6,13,13,299.0984650862976,326.3423341817902
31,56,5,16,23,349.92165868990605,387.69697104661856
34,84,4,8,15,132.48635359979684,248.06013136450562
38,74,6,6,13,397.19490192304926,368.9358901510697
26,23,6,10,6,382.6091852641669,342.3931386687989
32,29,6,10,17,452.1830405805941,389.9227878677186
17,66,1,6,19,270.3426207239702,257.86870440730695
15,33,6,8,8,124.66765304588709,197.6039983315168
15,57,1,18,23,284.5844516086747,339.38559938938675
33,31,5,17,3,155.04366882478456,292.18163601544626
25,64,7,10,23,358.9787254087271,366.0004729562559
19,36,1,2,15,118.85260965252233,159.00329313921907
26,54,1,12,21,249.59856249107807,305.77589448383634
17,85,6,10,10,133.13715939499815,242.00981988862722
15,60,7,9,8,101.34657362864132,235.41653236928073
